,mag,magerr,mhjd
0,19.32359224630519,0.004462944107573905,59374.387934114086
4,19.312774263150736,0.0056178437869327654,59381.4005385392
5,19.287168065145572,0.004705068175001932,59405.28053162154
6,19.269361952868188,0.00488608701837779,59406.40031155106
7,19.285575750524252,0.003517899523814437,59409.320973868715
8,19.283665555857038,0.0034335773303271334,59410.29647386947
10,19.28671653376685,0.0031920310555914573,59412.319092312595
11,19.27853043568288,0.003214822583817393,59414.3128404211
13,19.26877321406724,0.0059347984340732615,59416.33108901384
14,19.265404043272973,0.005008712931586208,59417.33682084165
15,19.26802687593596,0.006176674638031361,59426.31063841679
17,19.279727287266144,0.003607227104180025,59428.22730530717
19,19.274844870313178,0.007490286754088988,59430.3002929918
21,19.287805618938673,0.0031471059958128066,59436.31439899281
23,19.29468208783781,0.004201732512416239,59439.27342586188
24,19.29627881050895,0.00456261188398605,59443.321505897446
25,19.30333091628166,0.0035888794372492456,59444.308068968705
26,19.317904181992844,0.005388489445353839,59447.31082481891
28,19.326847424218563,0.00528750463441255,59454.278456474654
29,19.32119639474827,0.0035614052494648968,59455.278227912844
30,19.332500166539468,0.0031990084547802934,59460.27239471616
32,19.340985277634957,0.003155072595506921,59462.26099099952
34,19.349516432603004,0.003367873807133435,59467.20409708889
35,19.35132926750452,0.004354217346392834,59470.2214369794
37,19.358271217928632,0.003950566297000458,59472.21711089462
38,19.362715877668393,0.00461587281880288,59473.163249525125
40,19.345610493154556,0.006689504664483533,59475.16838183743
41,19.344694811386706,0.012455430469689121,59481.099945085436
42,19.340335022821908,0.0038822989944375355,59482.10425696289
43,19.337590678565917,0.003368127187192863,59483.12345185515
44,19.3400475937786,0.003398234112931232,59484.12483228766
46,19.327055996513117,0.003567562546912682,59486.12614143675
47,19.337102818061076,0.004671662103057759,59489.20989004464
48,19.341977110423326,0.003664600798995818,59490.253196001635
49,19.345466331085827,0.0032447892836295475,59492.22486694285
52,19.331573951746396,0.0055995765043483125,59503.175313667045
58,19.329081030180213,0.003038668876838859,59517.16073816281
60,19.340611922070927,0.004840684728382842,59519.151932095796
61,19.335464896353947,0.0031549014446610882,59521.07090595015
62,19.335195603730668,0.003638282798063078,59522.03995400749
64,19.339916400706862,0.0050322201568749735,59528.04364051452
66,19.364096547548932,0.0058679764439661716,59530.04635177382
67,19.35669127630203,0.007147233961391141,59531.0482936323
69,19.35127343092094,0.0139087164077897,59537.05383672239
70,19.341360431898327,0.010564024982823857,59538.0595812262
71,19.35485580361526,0.008092070220992393,59539.04893449927
72,19.346296774115736,0.01613316056347338,59540.0675123143
73,19.354482579440543,0.007490286754088988,59542.05186874862
75,19.352845150880114,0.00322804268059517,59544.1806572465
76,19.33851843306491,0.008130714890943764,59545.14170190389
77,19.36062942172519,0.0031272941977822308,59547.05241015309
79,19.364598398580064,0.011315898016100168,59549.12608742074
80,19.354438343521842,0.0037362233754259094,59550.068196769804
81,19.350987726034788,0.007490286754088988,59551.12789956061
82,19.378478717210616,0.0061453295136142914,59552.05218240933
83,19.3525658176736,0.003142707756756974,59553.053960041376
84,19.349125097081895,0.0037674508305654787,59554.05392270489
85,19.365962920914853,0.003815535237400543,59555.05029708962
86,19.357414440697596,0.004325011648537603,59556.090131218545
87,19.362852587928632,0.004279254557190402,59557.04238377011
88,19.34738315095856,0.003828279584497046,59558.07953937864
89,19.34648062248096,0.006910377849837808,59563.07581184036
90,19.367018178081267,0.0075130591432899865,59564.0429839436
92,19.349397131120305,0.007490286754088988,59566.05260392674
93,19.35860523007551,0.0061899264440000564,59567.04238233308
94,19.362229013823686,0.010330692639763984,59571.05166068161
96,19.360215259675883,0.003612315547942944,59574.065183621016
97,19.343729298930405,0.004261315407578498,59576.05804091168
98,19.3533272259228,0.004220498875656661,59577.04554460803
99,19.349817391374167,0.0041138467402921305,59578.05025715928
100,19.354039914166314,0.0058126012254961215,59582.05281227703
101,19.337650913613754,0.007341303661676077,59583.04478541168
102,19.342105906327003,0.0067403229112054765,59586.04230710794
