,mhjd,mag,magerr
0,59176.26004275726,19.111895029419518,0.0045749347474008
1,59177.25340715936,19.10826822781602,0.003210539473198
3,59179.27940662159,19.111572059535384,0.0034363003525149
5,59189.25665024109,19.11617539610022,0.008304063493692
6,59190.19147568289,19.122129574232854,0.0031462106242656
7,59191.27382969763,19.125657100482062,0.0078751427871393
8,59192.25653641904,19.121706639162085,0.0027710921633039
9,59193.20971534448,19.127929016954546,0.00311684169177
10,59199.2891035974,19.12905043984941,0.0118736271596144
11,59200.29287427617,19.126036789556277,0.0045766306373757
12,59201.23584345076,19.11970679112168,0.0036679804990834
14,59203.294119912665,19.122324733579653,0.0038126891503979
15,59204.17717479356,19.11909377850274,0.003032489036194
16,59205.19376150891,19.114488634541278,0.0038339904370917
17,59206.21349552553,19.124227647692837,0.0043745578261931
18,59207.16025127517,19.12076995895974,0.0070008411104547
21,59210.2000033441,19.11319853355184,0.00727185807019
22,59211.20381435752,19.11656361464138,0.0079824785455682
24,59217.15991445352,19.10179018896984,0.0041698731723306
25,59218.25985837355,19.115400807775647,0.0043665397264217
26,59219.26844626805,19.108627112553673,0.005856957843517
27,59220.27143039554,19.110332530922207,0.0031172506603391
28,59221.217457033694,19.11951228150083,0.0071957048665846
29,59222.12078531599,19.11843519967689,0.0032803127951025
31,59224.1729343324,19.122508512151953,0.0049678506279222
32,59225.16896489682,19.1181396606629,0.0031327296304078
34,59227.17668257607,19.12009963183797,0.002721533235089
35,59228.160625102464,19.119352133829963,0.0031811298957657
36,59230.15852851048,19.12729221512921,0.0044363546593212
37,59231.154757686425,19.123087987817208,0.0053214253199002
38,59232.153033111244,19.11933104618532,0.0039182499454139
39,59233.15893464256,19.130078511705815,0.0030643206881968
40,59234.18850281555,19.120068877966997,0.0031082165769744
41,59235.12280592416,19.122353388731902,0.0035542742711279
42,59236.110739952885,19.132558777521037,0.0037107844035966
43,59238.07240160648,19.122994572877626,0.0061861438516784
46,59250.18101246981,19.131253519351464,0.0043218356947333
47,59251.1342378878,19.14625083571373,0.0036692726185916
49,59254.08974356111,19.143436500754806,0.0046927868062281
50,59256.14857901726,19.13567325641545,0.0028759986551777
51,59257.05947193084,19.14218436570328,0.0034979631479247
53,59259.069437190425,19.148638678949975,0.0033611878142242
54,59262.06139023602,19.145625479170466,0.003236322103489
55,59263.12000877457,19.155021200118288,0.0037908327849789
56,59264.066874916665,19.143768049563132,0.0035349093458133
57,59265.10353647405,19.14856359466311,0.0034455129606718
59,59275.07534085261,19.141213538187195,0.006191493950705
60,59276.090846130624,19.1477624855499,0.0035828362473289
61,59277.07210638095,19.16126523437869,0.003363475524285
63,59279.06015311275,19.156024597431017,0.0039020364894315
64,59280.070436294656,19.152278918198416,0.0038198946391872
66,59282.07060700981,19.156749974421075,0.0033720811203969
67,59283.04505701782,19.155743242949196,0.0030584604664495
68,59284.06140053412,19.159867751744855,0.0033474746126397
69,59286.0370776644,19.15540300118937,0.0033740355765224
70,59287.05317615578,19.16333588954034,0.0062535114490151
71,59288.04674111353,19.157667772784848,0.0035842678621888
72,59289.03848966537,19.165804477657787,0.0035030104091728
73,59290.0618306906,19.160222272465806,0.0033485175989536
74,59291.038428606,19.153431105336328,0.0036615304904383
75,59292.053575373255,19.16392559190404,0.0035117768030193
